name,title,start,Complete,Duration,cost,variance,planned,actual,Column,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9
Department of Agriculture,AMS Infrastructure WAN and DMZ (AMSWAN),2011,2012,628,15.297,0,15.297,15.297,,,,,,,,,
Department of Agriculture,AMS Infrastructure WAN and DMZ (AMSWAN),2011,2012,445,0.179,0,0.179,0.179,,,,,,,,,
Department of Agriculture,AMS Infrastructure WAN and DMZ (AMSWAN),2012,2012,269,1.46,0,1.46,1.46,,,,,,,,,
Department of Agriculture,APHIS Electronic Permits System (ePermits),2011,2011,268,1.8205,20,1.8205,1.4564,,,,,,,,,
Department of Agriculture,APHIS Electronic Permits System (ePermits),2012,2012,269,1.713,0,1.713,1.713,,,,,,,,,
Department of Agriculture,APHIS Electronic Permits System (ePermits),2012,2013,446,1.45,0,1.45,1.45,,,,,,,,,
Department of Agriculture,APHIS Electronic Permits System (ePermits),2010,2011,89,0.01,0,0.01,0.01,,,,,,,,,
Department of Agriculture,APHIS Enterprise Infrastructure,2010,2011,627,46.96,0,46.96,46.96,,,,,,,,,
Department of Agriculture,APHIS Enterprise Infrastructure,2011,2012,259,0.662,0,0.662,0.662,,,,,,,,,
Department of Commerce,APHIS Enterprise Infrastructure,2011,2012,571,3.155,0,0.572,0.572,,,,,,,,,
Department of Agriculture,APHIS Enterprise Infrastructure,2011,2012,561,14.239,84,2.41,0.3856,,,,,,,,,
Department of Agriculture,APHIS Enterprise Infrastructure,2011,2012,486,10.058,0,10.058,10.058,,,,,,,,,
Department of Agriculture,APHIS Enterprise Infrastructure,2011,2012,505,4.268,0,4.268,4.268,,,,,,,,,
Department of Agriculture,APHIS Enterprise Infrastructure,2012,2012,233,4.01,0,2.23,2.23,,,,,,,,,
Department of Agriculture,ATSA - Automated Timber Sale Accounting,2011,2012,628,675,22.86,1.75,1.35,,,,,,,,,
Department of Agriculture,Consolidated Farm Loan Program Information &amp; Delivery Systems #103,2002,2018,6104,46.72,10.9,1,0.891,,,,,,,,,
Department of Agriculture,Consolidated Farm Loan Program Information &amp; Delivery Systems #103,2002,2018,6104,23.36,0,0.35,0.35,,,,,,,,,
Department of Agriculture,Consolidated Farm Loan Program Information &amp; Delivery Systems #103,2002,2018,6104,116.8,0.74,11.678,11.591,,,,,,,,,
Department of Agriculture,Consolidated Farm Loan Program Information &amp; Delivery Systems #103,2002,2018,6104,23.36,4,0.1,0.096,,,,,,,,,
Department of Agriculture,Consolidated Farm Loan Program Information &amp; Delivery Systems #103,2002,2018,6104,23.36,0,0.44,0.44,,,,,,,,,
Department of Agriculture,Consolidated Financial Management Information Systems (CFMIS) #106,2011,2012,631,5.9004,3.71,5.9002,5.6813,,,,,,,,,
Department of Agriculture,Consolidated Financial Management Information Systems (CFMIS) #106,2011,2012,631,2.306,5.05,2.3053,2.1889,,,,,,,,,
Department of Agriculture,Consolidated General Sales Manager (CGSM) #107,2011,2012,631,0.795,36.68,0.379,0.24,,,,,,,,,
Department of Agriculture,Consolidated General Sales Manager (CGSM) #107,2004,2012,3185,1.404,-0.36,1.109,1.113,,,,,,,,,
Department of Agriculture,Consolidated General Sales Manager (CGSM) #107,2011,2012,631,1.451,16.61,1.451,1.21,,,,,,,,,
Department of Agriculture,"FAS Infrastructure, Office Automation, and Telecommunications (IOAT)",2011,2012,365,7.276,0,7.276,7.276,,,,,,,,,
Department of Agriculture,"FAS Infrastructure, Office Automation, and Telecommunications (IOAT)",2011,2012,628,16.248,0,16.248,16.248,,,,,,,,,
Department of Agriculture,Financial Management Modernization Initiative (FMMI),2011,2012,445,8.942,-274.18,1.811138,6.777,,,,,,,,,
Department of Agriculture,Financial Management Modernization Initiative (FMMI),2012,2012,116,1.602,-36.41,1.601,2.184,,,,,,,,,
